Node,Rank,PageRank,num_followers,verified_followers,following,total_tweets,total_retweets,total_commenters,total_reposters
_TheNFTDaily,111,2.945849809127097e-05,78700,17,18,5,5,65,87
TypicalTigerNFT,112,2.940122377760852e-05,14200,20,19,5,5,21,21
VoiceofDefi,113,2.939953922221949e-05,5331,17,17,4,3,1,67
TheCryptoDog,114,2.93591224494789e-05,836800,20,20,5,5,111,116
TheNFTzoo_,115,2.9328444131407176e-05,39000,19,17,1,5,1,40
__DeFi__,117,2.919941649931543e-05,16900,19,20,5,5,30,74
TheBitcoinDogs,118,2.919530469989802e-05,3304,19,17,5,5,51,67
Jikymeow,119,2.9183092519095814e-05,4558,18,19,5,5,40,73
defidotapp,120,2.90914881744714e-05,37700,20,19,5,5,128,59
ATHena_DeFi,121,2.903687841742188e-05,44300,20,19,5,5,51,142
TomCrownCrypto,123,2.896464234076952e-05,51900,20,17,5,5,41,80
CryptoNFTs,124,2.893550669854625e-05,15700,20,21,5,1,32,16
mrdariusone,125,2.892805746061181e-05,9943,20,14,4,5,23,47
MonsieuRabbit,126,2.888499891584652e-05,20800,20,18,5,0,28,0
RunwithBitcoin,127,2.883270771846223e-05,17000,19,17,5,5,39,64
NFTDoctor33,128,2.873966054096504e-05,41000,20,20,4,4,41,84
ctommy95,129,2.8681705991283103e-05,241900,20,4,5,5,73,134
AlcoholiCrypto,131,2.85797690746816e-05,236400,19,19,2,5,45,197
flow_blockchain,133,2.855122702608248e-05,198400,17,18,5,5,39,26
DeGodsNFT,134,2.8498821924222663e-05,186600,20,20,5,5,141,90
HedgehogsNFT,135,2.848589156415238e-05,2176,20,20,5,3,0,4
Toni_Bitcoin,136,2.841229360128208e-05,7830,20,19,5,5,9,127
TheJanaNFT,137,2.8386241656444664e-05,238300,20,19,5,0,156,0
JaimeDeFi,138,2.835479112360312e-05,916,20,12,5,5,3,17
Baldies4Bitcoin,140,2.834187499112868e-05,2051,20,20,0,5,0,19
crypto_ita2,141,2.8341856499675988e-05,57800,12,19,5,0,32,0
MadHatt3rr,142,2.830537543424012e-05,4027,20,20,5,0,10,0
ApesFarFromHome,144,2.817609865105249e-05,6547,20,19,5,5,13,11
BlockchainBoyy,145,2.815793446307409e-05,77100,20,19,5,5,35,36
CryptoEnact,146,2.8142089363177142e-05,48800,20,20,5,5,94,133
bobjiang123,147,2.8103852022243884e-05,2995,19,19,5,5,2,58
LadyofCrypto1,148,2.810377762728857e-05,552800,16,19,5,5,149,65
CaleCrypto,149,2.806317639058225e-05,91800,20,20,5,0,168,0
BitcoinDevilDog,150,2.8036502716531866e-05,1366,20,19,5,0,0,0
JojoBlockchain,151,2.7989298408265108e-05,2259,20,20,2,5,21,52
CirrusNFT,152,2.798136577474167e-05,91200,20,20,5,2,130,44
RepDeFiFidonia,153,2.7979071791275708e-05,86400,20,19,5,0,43,0
stepn_br,154,2.7967977910349007e-05,2226,9,18,5,5,60,58
A2KDeFi,155,2.795945815757814e-05,25400,20,20,5,5,8,74
0xHvdes,156,2.7938757976483024e-05,31400,20,20,4,5,63,79
web3dailyco,157,2.786952861210898e-05,4565,20,19,5,5,12,137
BitcoinRaider,161,2.769070262288884e-05,71600,18,19,4,5,3,129
DeFi_educator,163,2.745603036823666e-05,18600,17,20,3,5,12,95
BelfortNFT,164,2.742335310651352e-05,31400,20,19,3,5,30,105
RektUSD,165,2.74066332161782e-05,45700,20,16,5,5,79,130
TheDeFISaint,166,2.739159734001397e-05,65099,20,19,5,5,27,74
metaversehodl,167,2.734136546879277e-05,4840,20,19,5,3,25,29
legendzent,168,2.730893416672788e-05,1715,20,20,5,5,0,128
defitrader_,169,2.726268192966054e-05,15100,20,19,5,5,33,119
BitcoinHealix,170,2.725672944721992e-05,982,18,20,2,5,0,135
jimmiebitcoin,171,2.7240134266245857e-05,1266,19,19,5,5,5,71
CryptoApe0,173,2.71235570601699e-05,22600,20,19,5,5,48,44
ffbgame,174,2.693131481161886e-05,155,19,19,5,3,9,64
ViktorDefi,175,2.692877107392157e-05,77500,10,20,4,5,37,124
BlockchainDoug,176,2.692737824600941e-05,6849,20,20,5,5,10,46
thehouseofweb3,177,2.692361172735748e-05,2415,19,15,2,5,1,59
hive_blockchain,178,2.6907137765200576e-05,7705,20,19,5,5,48,47
BlockchainBlade,179,2.6858474983040746e-05,991,20,20,1,5,2,37
defidivvy,180,2.68443725956358e-05,3779,20,19,5,2,9,35
Trappin_NFTs,181,2.6833281942827475e-05,4501,20,18,5,4,0,105
glozingvirtual,182,2.6744382987420613e-05,2662,18,19,5,5,14,61
Bitcoin_Bilbo,183,2.6733975959752114e-05,1335,20,19,2,5,1,134
harrisonwhitakr,184,2.6728221894393904e-05,427,19,19,5,5,1,33
immihu,186,2.665569041565749e-05,27000,20,20,5,5,37,66
